iter	Passed	Remaining
0	2	222
1	3	189
2	6	198
3	8	196
4	10	195
5	12	193
6	14	192
7	16	189
8	18	189
9	21	189
10	23	190
11	25	186
12	27	182
13	29	181
14	31	180
15	33	177
16	36	180
17	38	175
18	40	170
19	42	168
20	43	164
21	45	161
22	47	158
23	49	158
24	52	157
25	56	159
26	59	160
27	61	157
28	64	158
29	68	159
30	71	158
31	73	156
32	76	154
33	78	152
34	79	148
35	81	144
36	83	141
37	85	140
38	87	136
39	89	133
40	91	131
41	92	127
42	94	125
43	96	122
44	97	119
45	100	117
46	102	115
47	103	112
48	105	109
49	106	106
50	108	104
51	111	102
52	113	100
53	115	97
54	116	94
55	117	92
56	119	90
57	122	88
58	124	86
59	126	84
60	128	82
61	130	80
62	132	77
63	134	75
64	135	73
65	137	70
66	141	69
67	144	67
68	146	65
69	148	63
70	151	61
71	155	60
72	158	58
73	160	56
74	162	54
75	165	52
76	168	50
77	171	48
78	173	46
79	176	44
80	178	41
81	180	39
82	182	37
83	184	35
84	186	32
85	189	30
86	191	28
87	193	26
88	195	24
89	198	22
90	200	19
91	201	17
92	203	15
93	205	13
94	207	10
95	209	8
96	210	6
97	212	4
98	213	2
99	215	0
